URL,Clicks (3mo),Impressions (3mo),Avg Position,Index Status / Problem,Recommended Codebase Fix
https://tenantflow.app/blog/rentredi-pricing-breakdown-and-hidden-fees-what-every-small-landlord-needs-to-know,3,927,8,"Noindex tag (live, fetch OK)",Remove noindex meta tag
https://tenantflow.app/blog/yardi-breeze-vs-appfolio-complete-comparison-for-2026,1,742,7,404 Not Found (live-tested),Restore content OR 301-redirect to live equivalent (or 410 if intentionally gone)
https://tenantflow.app/blog/stessa-vs-rentredi-complete-comparison-for-2026,0,596,10.7,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/,34,476,6.1,Indexed (healthy),None - healthy
https://tenantflow.app/blog/photography-tips-for-rental-listings,0,428,12.9,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/blog/top-50-property-management-apps-for-small-landlords,0,414,9.5,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/blog/rentec-direct-vs-avail-complete-comparison-for-2025,0,385,6,Indexed (healthy),None - healthy
https://tenantflow.app/blog/top-3-property-management-apps-for-commercial-landlords,1,375,8.4,"Noindex tag (live, fetch OK)",Remove noindex meta tag
https://tenantflow.app/blog/top-5-property-management-apps-for-first-time-landlords-remote-friendly,0,372,8.7,Noindex tag (suspected),Remove noindex meta tag
https://tenantflow.app/blog/stessa-vs-turbotenant-complete-comparison-for-2026,1,325,8.4,"Noindex tag (live, fetch OK)",Remove noindex meta tag
https://tenantflow.app/blog/rent-manager-pricing-breakdown-and-hidden-fees-what-you-need-to-know-before-you-subscribe,2,303,12.9,"Noindex tag (live, fetch OK)",Remove noindex meta tag
https://tenantflow.app/blog/top-5-property-management-apps-for-first-time-landlords,0,297,13.3,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/blog/automated-rent-collection-complete-setup-guide-for-real-estate-beginners,0,283,14.5,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/blog/landlord-studio-review-is-it-worth-the-price-for-first-time-landlords,0,276,19.2,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/blog/zillow-rental-manager-alternatives-under-50-month,0,270,10.3,Noindex tag (suspected),Remove noindex meta tag
https://tenantflow.app/blog/stessa-vs-appfolio-complete-comparison-for-2026,1,264,9.6,Not in noindex bucket - likely indexed or 404 (verify),"Verify status, then index if eligible"
https://tenantflow.app/blog/top-5-property-management-apps-for-diy-landlords,1,217,24.7,"Noindex tag (live, fetch OK)",Remove noindex meta tag
https://tenantflow.app/blog/doorloop-alternatives-under-40-month-for-single-property-owners,0,211,12.4,Noindex tag (suspected),Remove noindex meta tag
https://tenantflow.app/blog/top-10-property-management-apps-for-multi-family-investors-budget-friendly-options,0,205,10.2,Noindex tag (suspected),Remove noindex meta tag
https://tenantflow.app/blog/communication-tools-for-distant-landlords,0,204,31,Noindex tag (suspected),Remove noindex meta tag
https://tenantflow.app/blog/resman-vs-rent-manager-complete-comparison-for-2025,0,198,7.3,Noindex tag (suspected),Remove noindex meta tag
